uidp,date,study_cycle,adetourtime,a_early,a_late,route_FE,is_long_route,has_long_route_pre,high_dttime,acharge_weekmean,max_cycle
L0209101737,2017-00-08,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-08,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-09,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-13,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-14,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-14,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-15,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-16,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-16,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-17,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-17,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-20,1,10.8,0,1,15,4.4870040313615966e-5,0,1,96,3
L0209101737,2017-00-21,1,10.8,0,1,15,4.4870040313615966e-5,0,1,96,3
L0209101737,2017-00-24,1,10.8,0,1,15,4.4870040313615966e-5,0,1,96,3
L0209101737,2017-00-31,2,10.8,0,1,15,6.60060673356444e-5,0,1,96,3
L0209101737,2017-00-06,3,10.8,0,1,15,0.00018994949448758458,0,1,96,3
L0209101737,2017-00-07,3,10.8,0,1,15,0.00018994949448758458,0,1,96,3
L0209112655,2017-00-13,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-15,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-16,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-17,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-17,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-22,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-22,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-23,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-24,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-06,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-07,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-08,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-09,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-09,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-10,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-13,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-13,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-14,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-15,0,7.0,0,1,18,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-15,0,7.0,0,1,17,9.570666448244225e-8,0,1,192,2
L0209112655,2017-00-21,1,7.0,0,1,18,1.8591985673221956e-7,0,1,192,2
L0209112655,2017-00-21,1,7.0,0,1,17,1.8591985673221956e-7,0,1,192,2
L0209112655,2017-00-22,1,7.0,0,1,18,1.8591985673221956e-7,0,1,192,2
L0209112655,2017-00-22,1,7.0,0,1,17,1.8591985673221956e-7,0,1,192,2
L0209112655,2017-00-30,1,7.0,0,1,18,1.8591985673221956e-7,0,1,192,2
L0209112655,2017-00-30,1,7.0,0,1,17,1.8591985673221956e-7,0,1,192,2
L0209112655,2017-00-03,2,7.0,0,1,18,3.283689450239713e-6,0,1,192,2
