run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4
99,0.020062224002168505,1,0.337177486,0,93.61656375029347,86.44669688270655,-2.917435244729054,57.65735641672422
100,0.0200622239622967,1,0.370622057,0,93.61916026175777,86.44467462026292,-2.9189746020071907,57.65741331840497
101,0.02006222397189124,1,0.391753321,0,93.61745455978071,86.44594451496708,-2.9180765173411785,57.65735273299035
102,0.020062223965976525,1,0.372715085,0,93.61948015848391,86.44442080657753,-2.9191721439021814,57.657416924883016
103,0.02006222396136515,1,0.309179726,0,93.61915792070567,86.44474622897216,-2.918825197355304,57.65742144363771
104,0.02006222405112059,1,0.383574283,0,93.61578781869959,86.44740777329427,-2.9167776688905964,57.65739371185138
105,0.020062223989503695,1,0.485224138,0,93.62013648090907,86.44375299052244,-2.919848307529462,57.65734710314522
106,0.020062223967520887,1,0.528991697,0,93.6176595499713,86.44576894342144,-2.9182272913003766,57.657348749634934
107,0.020062224005232974,1,0.531701227,0,93.62110630585069,86.4432380116199,-2.919980551959776,57.657495020943806
108,0.020062223997014607,1,0.343132388,0,93.62089761380638,86.44340339812096,-2.9198519783253287,57.65749241458691
109,0.02006222396078178,1,0.330023862,0,93.61882388541335,86.44503809630491,-2.9185644192132547,57.65742437485378
110,0.020062224009655998,1,0.306608279,0,93.61602226897998,86.4469573176139,-2.917419626020841,57.6572721123821
111,0.02006222397536505,1,0.377386144,0,93.61726634739972,86.44607801542355,-2.9179895877576425,57.65734255113332
112,0.020062223962334768,1,0.484310587,0,93.6192356721001,86.44465011508187,-2.9189539454895517,57.65742956622316
113,0.02006222401978888,1,0.343676933,0,93.61902678888556,86.4438570198999,-2.920595263100224,57.6569300020951
114,0.020062224002544433,1,0.379117666,0,93.62073431026387,86.44338962959863,-2.920015680873071,57.657416034829275
115,0.020062223979179766,1,0.387972227,0,93.6203192708695,86.44385140870263,-2.9195111583310185,57.65747467084817
116,0.020062223967403637,1,0.298870269,0,93.61699173516406,86.4455241388377,-2.919242763909321,57.65693639041188
117,0.02006222397517481,1,0.534268612,0,93.62014192364377,86.44398315030533,-2.9194162363477543,57.65746511331719
118,0.020062224000066853,1,0.458045108,0,93.61647803983944,86.44670081469391,-2.9175047846956597,57.65732833688526
119,0.020062223966439415,1,0.335081941,0,93.61960015624122,86.44436842271615,-2.919164848907971,57.657437091756144
120,0.02006222398823701,1,0.339762225,0,93.6206979370774,86.44358641761526,-2.919682454710987,57.65750167219561
