uidp,deviceid
L0426120845_C1BC,PVP4HWZFS
L0426122119_D8BD,NJC6YNN4W
L0426130122_EFEE,2WD5BM7NA
L0426143204_CA92,PVE6FACVG
L0426150856_762E,F3Z538WN5
L0426152055_3D3F,KP6U8RH95
L0426153057_7EA4,PVEU8UJ25
L0222191032,BR644BAJG
L0426155236_3FD9,BRV5ZDWN5
L0426160429_A7FD,7HJ8D5L5Q
L0426163234_5E19,WTMLSKNP3
L0426164446_D192,BRV5483D5
L0426164720_2F93,RMGXFGCNQ
L0426171152_C3F1,NJCH2X2V3
L0222192158,LQ38GPAQ9
L0426172751_3C92,3MEGGWFW4
L0426173603_325D,E8Y33HNSH
L0426180708_0BA7,NJCUHKJW2
L0426182423_A1FE,THJUDYCYL
L0426182437_7D02,GQ2WK4AFT
L0426191607_185A,Z2QUKXTYK
L0426194106_A70E,CKW7BAV7N
L0426200002_6208,JV5ZRMY39
L0426201625_EA75,Z2QUADY6J
L0427082821_EE6B,9FLTHG2K3
L0427084419_A995,PVE4EYX7E
L0427094000_175C,65HVWNNCZ
L0427100640_8D83,RMGAW8XKD
L0427102519_BC82,YVPHQ4PV6
L0426153256_7E1C,SNHPGA6Z3
L0426182200_837F,65HU22F4E
L0427093125_84A2,LQAFZ8H89
L0427094953_FD96,DTX2TEPGY
L0427101444_9FA2,SNHBTAAH2
L0427105715_55B8,BRV2QYRXT
L0427113205_CA31,VGLE633VZ
L0427115021_CFA4,CKWVSGLQZ
L0427120936_FF1F,YVPHL9B8A
L0222200516,HVZGJH97B
L0427142139_077B,BRV2HN5KH
L0427145826_8C0B,U8KDTPCRW
L0427152955_F347,YVPHGC8P7
L0427162736_E8CD,3MEY6H2ME
L0222201608,Z248JDB6T
L0427083118_71D4,SNHXFRZAJ
L0427084725_87B3,VGLRLDQ4P
L0427091208_5FB1,KP6EWYKW6
L0427093647_7773,9FLV56FNM
L0427104038_A406,CKWV58YZP
L0427105618_976F,U8KDSBARP
L0427113718_A5CF,KP6ERT6FM
L0427115643_8306,3MEY59MRG
L0427125648_C85E,2WDV25758
L0427145300_D36C,4EFZSRETS
L0427151120_64F9,7HJV33ND8
L0427155549_AEA0,SNHB75FV4
L0427160122_D291,YVPHL6N9A
L0427162733_178F,WTMFJME76
L0427163505_A048,9FLV64YZ3
L0427165440_904A,U8KDMEF69
L0427165749_1667,VGLENU22P
L0427172237_28B1,Q8FLJ832K
L0427175554_71FD,E8Y5VQ33H
L0427180553_CD54,JV5DHFQA3
L0427181652_AD21,HV3B3DAMB
L0427182916_31F1,AZUPGAPB8
L0427183634_92D5,SNHBMQ9L3
L0427184815_C9CC,E8YHUTJ9N
L0427185609_0793,Z2QP5PJ8G
L0427200626_FF2D,MWB29JYQ8
L0427201056_98CB,2WD2CUGN2
L0427143727_B60F,BRV2HYC7R
L0427171126_B8CC,CKWVX39RP
L0427181013_E8AE,LQAFAC4X7
L0427182608_71D2,8NKK3XRTT
L0427190917_23DE,VGL5KJQ5T
L0428082820_7732,Q8F5AWAGW
L0428084145_D152,JV57J3XS9
L0428090236_DD6D,HV3NDYXX4
L0223083200,2WBQ4VX78
L0428091641_F147,U8K5PSSQP
L0428101247_FA6B,9FL79HJ33
L0428103835_13B9,PVE57EXBY
L0428104436_39E6,NJC57LRQK
L0428112810_BDD4,2WD7B58VA
L0223085715,CK669SQAY
L0428121341_DED4,3ME7BWBBG
L0428123453_A627,E8QWKVTGA
L0428132807_2EEA,2WPR4LW6Z
L0427124441_9A1E,CKWVFRGWZ
L0428083324_B11F,BRVGAEHRC
L0428091011_85C9,XENCYGVVD
L0428102619_17A3,HV3NJUK2W
L0428110722_9615,LQA53B5WE
L0428112632_7B9C,4EF7DJ4VP
L0428115800_7100,HV3N4QKR4
L0428121618_357A,7HJ7FL9ZH
L0428122858_E3ED,HV3NYSGV9
L0428145805_F3B2,JV5STKTDE
L0428150633_035B,GQ2S9XPTE
L0428152832_6264,KP6TRD7MB
L0428154218_D547,7HJA5HHN8
L0428160141_2498,KP6TFCJ76
L0428162106_EA0F,VGLW9LWPF
L0428164215_71C7,KP6TEWBKU
L0428164427_4068,9FLCVKMTN
L0428170536_7ED5,Q8F45X794
L0428174543_38D8,Z2QWKGVR3
L0428181713_D8C0,CKWC6NCDA
L0428190705_3B86,AZULASUH8
L0428193303_E589,2WDKXPDRZ
L0428202357_2FD4,9FLC6RA8X
L0429080327_43C3,LQAHZBRFK
L0429082318_51EA,5KGAK9UPV
L0429084303_53F6,E8YYHK96U
L0429085017_502D,JV5FPFZ56
L0429092659_249A,4EF8AF9VY
L0429095147_B79F,RMGPF439N
L0223084234,XE3T757XC
L0429102829_93BC,BRVPU8CKQ
L0223085721,U836GJ6LP
L0429104406_D3AE,HV3D255VB
L0429115828_B65C,KP6G53S9A
L0223090838,MW3U96NLM
L0429095803_8BCE,XEN825NLY
L0429102503_2775,5KGA5R78W
L0429104641_8045,65HBU2EW2
L0429113648_8491,WTMX2V3Z3
L0429122447_EC38,BRVPM76ET
L0429145451_2746,DTXR9599N
L0429151230_1403,PVEM3543S
L0429152852_46AB,PVEMGTKV5
L0223093430,SN36K562A
L0429170406_1A44,DTXRBUXE4
L0429171854_06D6,XENYYLJMC
L0429183611_5126,8NKQZ9WEC
L0428154323_6271,DTXP4XZN7
L0428161047_9B34,HV3726CX4
L0428180732_8E18,F3ZUBN8V5
L0429100955_5F54,Z2QX8LXRG
L0502080539_A19A,E8YPPKHL2
L0502091023_3660,CKWMCX2SC
L0502112114_50CB,U8K3FD3EU
L0502112203_675E,E8Y69PGK6
L0502115812_59EF,Q8Q6VMADW
L0502125026_CA12,YVP3K88K6
L0502152640_9C23,9FL6RZ8UG
L0502161511_AAF4,VGL3UJFRH
L0502162050_4957,JV53MQ4B3
L0502172915_3EF4,AZU8K35BR
L0502172916_84D5,PVE3BXVCG
L0502174755_22D4,Q8F335NFS
L0502183513_3B35,SNH3LRKPQ
L0502185404_2042,VGL3JBD3F
L0223110724,E86NQUW6H
L0503081449_1786,3MENZD3P7
L0503091811_5261,YVP2DYEZ6
L0503093604_9B28,65H9D7MJC
L0503104716_23A7,U8KWTJUEQ
L0503171945_17E0,LQAD9X9TS
L0503181030_D6D5,7HJK2BGSG
