run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
36,0.08109788730895547,1,6316.606373241,0,89.99764217621714,110.2318445584248,7.7997891873762555,37.68582874371987,-22.574915752297272,-7.494327120661329,37.009225867020966,74.68212549362669,49.24061412658506,21.351487206549056,58.48050387945646
37,0.08103791898920762,1,661.575575623,0,61.00162004534114,118.42786639299075,4.958710930003132,42.66181387491815,-34.986328602936844,-14.75888150494872,33.78331004717526,72.56210663369647,48.115122025419055,20.831643558245645,51.08194861057411
38,0.08106712989689373,1,774.965727933,0,80.7376944130686,115.77758501731238,6.799222712233518,43.87426304624424,-28.092029410721086,-12.05824502887347,40.47292736150997,73.90167112177028,48.871914009438385,21.16505219608485,56.992190850228624
39,0.08113229089052411,1,602.355791451,0,108.61907379999671,109.41625668195384,9.338862976228116,42.98412694931714,-19.107047054032,-4.970799538493957,44.86613278053619,76.13385199278486,49.879595319049685,21.6885604064451,63.475397898484886
40,0.08117158568926099,0,7280.458224731,0,52.48333693023935,110.21189402208765,4.453555836089212,25.728548597653333,-29.09605660201791,-11.17155803244294,17.64468237462181,71.73081999746297,47.9218121660761,20.66283285852836,46.210999505273406
41,0.08106031383648851,1,664.288905122,0,74.44638024921623,115.2596543750916,6.303664634783082,41.002454863294055,-29.157014797914407,-12.178207702602943,36.48799396264853,73.31030467111083,48.57631239931744,21.020048299552695,54.89617231674305
42,0.08136075609512966,1,912.648158059,0,141.45877150021022,99.75541568628535,12.299980223018222,39.24424043481552,-7.014794772589771,2.5372134693990387,46.77093427915856,78.38648081885917,51.796292406839584,22.352111305050347,69.35870356999007
43,0.08121006066317382,1,519.831723724,0,46.33688866033898,110.35081967243451,3.7294537566550234,23.83884759307063,-28.0996410688574,-13.576310871171406,14.664830234699744,70.67529892943394,47.57608293977587,20.495773711611953,43.93807893455014
44,0.08108325759296359,1,1001.846005658,0,70.08673502253856,112.35890468597441,6.005102732029463,34.76066658567297,-27.75703807991163,-10.639556537494109,30.035240533243858,73.35546448658668,48.32767952026463,20.995967794982125,52.826847913083746
45,0.08125431113203618,1,389.460305553,0,40.986028926113846,110.60825222297956,3.2653116886813973,23.03514834610763,-30.52770766095576,-13.434027371292443,11.629243178071606,70.87293250975927,47.62883984916063,20.362522457325813,41.824224861140216
46,0.08111060125931299,0,7237.604311325,0,60.51392061204588,111.63910064652943,5.165240737572121,30.481007068589708,-28.61388323937852,-11.478445440350493,24.073982549561798,72.63879048641229,48.00457165897573,20.82985260969276,49.43502688254252
47,0.08113689204482895,1,380.415047354,0,95.47650374998852,111.4347651776577,8.199482510268567,41.538714656835104,-22.342767607335652,-7.742255189343094,41.41377549368317,77.88002293346132,47.69806622235919,21.210247037394886,60.347533262234776
48,0.08109574579611954,0,7242.870274727,0,92.47035498806925,111.00354167530654,7.969728240056031,39.82856502470422,-22.67695123705766,-7.718086125861348,39.34699060905407,74.89204334001583,49.35411305243501,21.404071754365546,59.37756864008236
49,0.08107731847475319,1,232.911325958,0,81.68390034554854,114.32439150069476,6.902694473949051,41.784940612529496,-26.87281764032403,-10.828763168372552,38.830278913529924,73.74096641850043,49.100853497038216,21.534225228453646,56.9438684413438
50,0.08108799909535669,1,996.22480741,0,79.35065640164035,111.49328974969134,6.85242555550372,36.25088600608837,-25.405653422765855,-9.242297159557705,33.51206841412203,73.88967553950064,48.821625497787025,21.1571152463938,55.57745389822881
51,0.08118854172327947,0,7269.081627792,0,48.27289810916112,110.40110622261035,4.0475618727307126,24.8468933201724,-30.050281970065615,-11.734048469385488,15.55106811599651,71.38690550936178,47.80091094156357,20.582654355976107,44.662228830817234
52,0.08108360947893702,1,1238.148933823,0,89.91614488673457,113.45470945557395,7.670197189816859,43.12179925428044,-25.067888592317306,-9.30214947588935,41.62288863490686,74.7713382677168,49.243718188117924,21.368401794635126,59.19165228573977
53,0.08109470911827354,1,5392.335557549,0,90.20777728108841,110.7241487844699,7.796919161294885,38.56542659389527,-22.84472578602155,-7.808305620290366,37.83048187413918,74.70490324371887,49.26404632265777,21.359017287185466,58.659770364349505
54,0.08110067211082765,1,1299.523827688,0,97.0597160689288,112.3689815109471,8.259722928989472,43.62273198035808,-22.587494440258883,-8.241950793209705,43.5899822645856,75.32262934665764,49.53843263351789,21.50456953279135,61.030912864168705
55,0.08108844048790188,1,4773.976966692,0,92.07717378501566,113.32773036439534,7.838488856660664,43.47196387029177,-24.19124418153985,-9.34113323532003,42.548780110037754,74.84618729846719,49.38763693286892,21.401426954370205,59.825638146723435
56,0.08111472312739793,1,318.365908362,0,52.75564906071218,122.18012674250402,4.014735284835002,47.027985300420866,-40.13150300961748,-17.97661901079579,34.53006411588024,72.94796243160465,47.64556419132614,19.1566449921626,48.87976490671891
57,0.08111638322524906,0,7255.879096148,0,64.04605228790693,110.81215474188663,5.5259236778433545,30.242878594337363,-27.69590409345739,-10.251936749896013,24.679665812480575,72.80417134482613,48.0969868017459,20.867812282329066,50.4548120637923
58,0.08104277667125757,1,598.145041579,0,64.56425885944421,117.58348567052137,5.291630605652063,42.102421587451154,-33.080274168875384,-14.33499705014526,34.59659095723884,72.95886107696239,48.1233586091701,20.899850782835976,52.154925551238776
59,0.0811680553071974,0,7266.847084554,0,52.06590435790194,110.47241503265248,4.384109342884667,25.904675155049507,-28.789153840372133,-11.901774600250528,17.870863869450055,71.68204632557284,47.904322199588314,20.654020718733527,46.13767274286996
60,0.08114257085738294,0,7237.743384605,0,108.5945912758215,106.58255697918888,9.46728850359877,38.22784805239406,-16.98792518769473,-3.5841040169714007,40.814460421469896,76.20667745772658,50.009085816573176,21.723257773716348,62.77948651703485
