minute,pts_in,pts_out
793,1726.0,1234.0
794,1661.0,1310.0
795,1686.0,1190.0
796,1650.0,1166.0
797,1657.0,1154.0
798,1656.0,1215.0
799,1617.0,1230.0
800,1638.0,1268.0
801,1662.0,1227.0
802,1658.0,1176.0
803,1656.0,1276.0
804,1656.0,1234.0
805,1634.0,1261.0
806,1662.0,1186.0
807,1665.0,1162.0
808,1679.0,1145.0
809,1682.0,1140.0
810,1685.0,1100.0
811,1646.0,1197.0
812,1652.0,1242.0
813,1654.0,1215.0
814,1641.0,1144.0
815,1705.0,1172.0
816,1648.0,1201.0
817,1593.0,1218.0
818,1595.0,1186.0
819,1593.0,1106.0
820,1626.0,1159.0
821,1631.0,1133.0
822,1569.0,1180.0
823,1643.0,1127.0
824,1569.0,1148.0
825,1713.0,1241.0
826,1635.0,1189.0
827,1577.0,1217.0
828,1563.0,1129.0
829,1562.0,1076.0
830,1652.0,1106.0
831,1693.0,1104.0
832,1508.0,1123.0
833,1536.0,1123.0
834,1550.0,1140.0
835,1648.0,1072.0
836,1512.0,1145.0
837,1533.0,1164.0
838,1510.0,1127.0
839,1490.0,1109.0
840,1561.0,1114.0
841,1582.0,1116.0
842,1552.0,1134.0
843,1592.0,1074.0
844,1503.0,1042.0
845,1521.0,1078.0
846,1496.0,1092.0
847,1457.0,1100.0
848,1475.0,1119.0
849,1418.0,1120.0
850,1444.0,1108.0
851,1429.0,1156.0
852,1495.0,1047.0
853,1476.0,1076.0
854,1494.0,1080.0
855,1492.0,1050.0
856,1514.0,1083.0
857,1466.0,1064.0
858,1469.0,1081.0
859,1491.0,993.0
860,1444.0,1041.0
861,1450.0,1084.0
862,1440.0,1054.0
863,1401.0,1067.0
864,1471.0,1113.0
865,1437.0,1098.0
866,1474.0,1130.0
867,1515.0,1088.0
868,1463.0,1075.0
869,1463.0,1110.0
870,1507.0,1084.0
871,1532.0,1078.0
872,1509.0,1039.0
873,1465.0,1030.0
874,1469.0,1056.0
875,1474.0,1006.0
876,1509.0,1024.0
877,1449.0,1043.0
878,1447.0,1016.0
879,1484.0,1008.0
880,1476.0,992.0
881,1459.0,1009.0
882,1438.0,968.0
883,1464.0,932.0
884,1407.0,986.0
885,1617.0,1102.0
886,1437.0,1009.0
887,1427.0,999.0
888,1389.0,1020.0
889,1443.0,1012.0
890,1530.0,993.0
891,1435.0,1016.0
892,1432.0,1046.0
893,1458.0,1025.0
894,1467.0,1001.0
895,1471.0,986.0
896,1474.0,979.0
897,1421.0,1035.0
898,1417.0,1043.0
899,1434.0,1056.0
900,1499.0,1009.0
901,1476.0,986.0
902,1450.0,1002.0
903,1423.0,1020.0
904,1421.0,986.0
905,1439.0,1042.0
906,1489.0,1021.0
907,1464.0,971.0
908,1425.0,1024.0
909,1460.0,1009.0
910,1415.0,1024.0
911,1448.0,1038.0
912,1459.0,1039.0
913,1428.0,990.0
914,1449.0,1006.0
915,1450.0,1041.0
916,1428.0,1037.0
917,1449.0,1011.0
918,1397.0,1037.0
919,1415.0,1036.0
920,1371.0,1037.0
921,1399.0,1008.0
922,1416.0,969.0
923,1375.0,943.0
924,1442.0,954.0
925,1461.0,909.0
926,1408.0,925.0
927,1412.0,1012.0
928,1383.0,1022.0
929,1481.0,993.0
930,1458.0,1022.0
931,1424.0,1042.0
932,1424.0,1036.0
933,1411.0,993.0
934,1470.0,985.0
935,1506.0,1016.0
936,1491.0,994.0
937,1473.0,1121.0
938,1476.0,1159.0
939,1561.0,1011.0
940,1470.0,1109.0
941,1472.0,1127.0
942,1431.0,1098.0
943,1487.0,1086.0
944,1408.0,1106.0
945,1593.0,1245.0
946,1401.0,1161.0
947,1499.0,1117.0
948,1478.0,1139.0
949,1549.0,1154.0
950,1522.0,1074.0
951,1491.0,1224.0
952,1553.0,1105.0
953,1516.0,1098.0
954,1574.0,1151.0
955,1528.0,1134.0
956,1483.0,1161.0
957,1490.0,1157.0
958,1538.0,1125.0
959,1534.0,1128.0
960,1544.0,1062.0
961,1597.0,1097.0
962,1544.0,1133.0
963,1479.0,1085.0
964,1551.0,1130.0
965,1541.0,1057.0
966,1593.0,1076.0
967,1549.0,1065.0
968,1547.0,1108.0
969,1567.0,1057.0
970,1607.0,1061.0
971,1556.0,1138.0
