minute,pts_in,pts_out
686,880.0,521.0
687,862.0,589.0
688,961.0,541.0
689,854.0,524.0
690,859.0,567.0
691,888.0,540.0
692,872.0,545.0
693,849.0,572.0
694,877.0,598.0
695,890.0,579.0
696,897.0,528.0
697,899.0,596.0
698,952.0,525.0
699,936.0,528.0
700,949.0,522.0
701,869.0,526.0
702,892.0,494.0
703,863.0,495.0
704,909.0,550.0
705,1032.0,569.0
706,912.0,569.0
707,885.0,580.0
708,859.0,527.0
709,858.0,514.0
710,869.0,564.0
711,889.0,555.0
712,849.0,521.0
713,877.0,535.0
714,871.0,554.0
715,907.0,532.0
716,914.0,536.0
717,847.0,525.0
718,870.0,525.0
719,881.0,539.0
720,887.0,540.0
721,856.0,545.0
722,840.0,547.0
723,843.0,540.0
724,818.0,516.0
725,827.0,555.0
726,906.0,540.0
727,934.0,514.0
728,927.0,482.0
729,930.0,505.0
730,886.0,514.0
731,866.0,529.0
732,846.0,529.0
733,872.0,540.0
734,861.0,538.0
735,867.0,570.0
736,901.0,504.0
737,925.0,560.0
738,930.0,539.0
739,917.0,563.0
740,953.0,537.0
741,967.0,517.0
742,914.0,529.0
743,896.0,515.0
744,914.0,516.0
745,926.0,519.0
746,915.0,528.0
747,863.0,533.0
748,894.0,508.0
749,857.0,484.0
750,817.0,498.0
751,806.0,478.0
752,831.0,502.0
753,840.0,523.0
754,852.0,504.0
755,880.0,495.0
756,850.0,529.0
757,837.0,524.0
758,927.0,493.0
759,937.0,517.0
760,843.0,532.0
761,896.0,525.0
762,893.0,518.0
763,828.0,548.0
764,912.0,514.0
765,907.0,586.0
766,866.0,558.0
767,887.0,507.0
768,864.0,474.0
769,941.0,465.0
770,856.0,514.0
771,830.0,486.0
772,841.0,491.0
773,917.0,470.0
774,898.0,479.0
775,838.0,526.0
776,859.0,528.0
777,849.0,529.0
778,815.0,532.0
779,795.0,521.0
780,807.0,521.0
781,827.0,549.0
782,827.0,521.0
783,793.0,516.0
784,818.0,480.0
785,793.0,466.0
786,822.0,482.0
787,801.0,537.0
788,818.0,500.0
789,802.0,494.0
790,888.0,464.0
791,868.0,496.0
792,835.0,564.0
793,856.0,534.0
