run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
69,0.06668633001581196,1,407.396391549,0,104.18608366710897,88.0152780859593,79.72516029182147,-1.4585539546760733,85.79334355140315,59.994705074029945,19.686198516513368,58.63831946975022
70,0.06668810171490398,1,272.072578591,0,103.96017937129554,87.84720528155256,79.89480604014874,-1.425159133544926,85.81476030642933,60.271226938255175,19.890096666352278,58.626964706156365
71,0.06673101225498394,1,374.041809586,0,104.25378563041393,88.17877369887255,79.7675799217254,-1.3045150780269277,89.82979053138209,58.65664537789222,20.51030013920853,58.62601113177873
72,0.06673100595276206,1,683.759688062,0,104.30106110044863,88.20535427426061,79.74146020091821,-1.2906148583859487,89.80198286098792,58.653563669379565,20.579282734619287,58.62981189551268
73,0.066742596064335,1,204.997561246,0,105.09910802166138,86.30959859684583,80.43063482090798,-0.8486155926693089,91.08838875072476,58.365891096069454,19.92717899274096,58.64227393946463
74,0.0667310123635251,1,365.268341357,0,104.267142570632,88.18951741195474,79.75641928438337,-1.3055724791876373,89.85513372239652,58.65477616813817,20.49612574388934,58.626264070944295
75,0.06668604977450893,1,453.681280527,0,103.26885629431455,87.59462665671406,80.12359571467087,-1.8004999582928067,85.67948724948086,59.79893240712193,18.61080025918216,58.55611407049388
76,0.06681232068452202,1,248.440907339,0,103.03504311514942,87.70975892136454,80.44691455308202,-1.1273138870334543,86.91291109349963,60.30764079476259,15.906234426071155,58.53957908608723
77,0.06669067453337638,1,418.465214383,0,102.25347676012858,87.79373862270096,80.3578352440437,-1.9598191709232626,85.70208806195171,59.32581592365473,18.62979510706065,58.390787321540586
78,0.06673100589616084,1,694.188090659,0,104.28001606403033,88.19561213456356,79.75207879487986,-1.2977284682935586,89.83485909873109,58.65348190355679,20.57452273647013,58.62751696320432
79,0.06666986537244708,1,178.310841293,0,102.15752680587302,88.38287950676062,80.26831398154586,-1.4521259929736239,92.16859461844007,57.62947723434345,20.22580828310753,58.465580188393844
80,0.0667475687399156,1,846.146616779,0,103.0543911253334,87.01123580321419,80.60273240781117,-1.3342607733694236,88.73870106519979,60.15581981445602,19.462274480703613,58.41979776386012
81,0.0666852275386051,1,358.098824258,0,103.51545872694838,87.638763424639,79.92259010965856,-1.0354336178281256,90.28181535331733,56.33861916424125,19.067705092000306,58.34089662785748
82,0.066749706879452,1,210.952465667,0,102.38081623996337,87.97563511498117,80.36763305944007,-1.6127769362593298,86.19959765492996,58.95130108088639,19.205804055974397,58.43886515889157
83,0.06668771312657797,1,378.322374943,0,103.54127384278235,87.5207751196968,80.13862592919949,-1.631394584470872,85.46988839872984,59.71998275718081,19.942083111827152,58.56368024301415
84,0.06669786535350047,1,371.608218921,0,100.63836467613405,87.73374941234343,81.18240697670532,-0.8360795659753664,92.91116002285221,58.892072866451905,21.990893635315828,58.07481447080678
85,0.06668791734403734,1,242.711884006,0,102.79600037930369,87.28155185921493,80.40246788968578,-1.8438853606082128,86.4792213444418,60.4049527499996,18.814600689289875,58.45094636376258
86,0.06669878376509271,1,696.167976516,0,103.73144611300954,88.20474961883848,79.7318025880139,-0.8843596867073885,80.18969610598451,58.53389783568768,20.351424412238966,58.40200580197421
87,0.06668740131603165,1,567.633143332,0,103.61132391296947,88.28433492377583,79.9629867527152,-1.3311645884588224,86.0467121319222,59.75952888826148,19.919257372157304,58.57860278088756
88,0.06673100871092501,1,504.843598976,0,104.28983480601353,88.20941712653226,79.73921602292462,-1.3023904146222436,89.86267595216376,58.64806629048213,20.5113794515921,58.62801654503439
89,0.06668609305238518,1,209.755898947,0,103.84722368838936,87.71942224307631,80.02726321521011,-1.426253786932571,86.33456165029033,59.9870345629656,18.70408066609521,58.6303507157953
90,0.06672542232484897,1,305.582984952,0,98.44722989061435,87.50359236042671,81.87609066253437,-2.2164397544816046,84.10864722937535,59.078677518296,18.289268558496016,57.975160815306744
91,0.06673100602659496,1,462.195432075,0,104.28847019976104,88.20179119278238,79.74541594596533,-1.297094187522601,89.80297677766855,58.65137599528765,20.578390115476804,58.6283668518524
92,0.06667223885347341,1,290.710239425,0,104.05676450566189,87.43742442569035,80.39218372414084,-0.8017337149682996,91.49087441013457,57.62093971488788,21.023272101711918,58.60266456900487
93,0.06673122839693306,1,211.277286724,0,104.22698360942275,88.13832635483247,79.8195246433529,-1.2555784933994518,90.17186474935198,58.59487971319555,20.356380267802763,58.62791010065149
94,0.06668333833154526,1,340.337245265,0,103.14608636025956,88.147979398314,79.96584960259217,-0.15628020866832018,91.11814898163942,58.47993915165245,21.1827904338441,58.284462120880505
95,0.06670011124592931,1,624.88845954,0,105.74108373355458,88.40978701075744,79.3920634191653,-0.49453903392860005,88.56027252318324,61.23849998194937,20.010905009764862,58.83218183684457
96,0.06666749221295047,1,221.488613991,0,103.15811769281997,87.74029387089958,80.19955522648428,-1.052254107361419,91.99325273502265,58.04606003817982,20.68308249620712,58.34945432937437
97,0.06670112452788926,1,511.671356116,0,103.71110282570261,87.15462395477716,80.35638103309057,-0.614824702597933,80.53411966883587,58.54384178204293,20.638346007691784,58.52553875662012
98,0.06673101175561189,1,414.41393414,0,104.28732466712468,88.21987306256838,79.73527414455927,-1.3011360950234538,89.88065914773343,58.62902923890971,20.558386176916958,58.62678751002392
99,0.06673100714685753,1,364.461468311,0,104.31948196620942,88.19335657818972,79.74778813324446,-1.280874456255952,89.83912684644672,58.654898969016294,20.575538220699965,58.63211674970895
100,0.06668465125834068,1,207.540060007,0,104.77651842854696,88.75128850296149,79.58999831670265,-0.4254506087473555,90.53420389089776,58.70452658355865,22.540381281212372,58.62402003091304
101,0.06673104077167058,1,202.442805514,0,104.30971750456742,88.24431192549751,79.70979788466059,-1.302807218844719,89.82532736156868,58.72935181858363,20.478011266106645,58.62802260031513
102,0.06673101147851988,1,364.081168461,0,104.27646110069408,88.2124255783077,79.74221433267566,-1.303474506593226,89.85423676887633,58.65556374194332,20.497839040691776,58.62693669522025
103,0.06668872585091477,1,302.006959231,0,105.17060032142795,87.95549430695469,79.47219213073384,-1.2966969963344999,86.5042543829878,59.548841468518155,19.104771414334937,58.741716704709766
104,0.06673105521760699,1,386.649733194,0,104.29824472684292,88.21774603022286,79.7414327034397,-1.2855429970546193,90.05203795313464,58.630073599368394,20.56917496464529,58.62778573198114
105,0.06666156716185322,1,274.071622514,0,104.36873849428804,88.13149256208516,79.60598167982177,-0.886199070956143,91.80020553818663,58.25307999768866,20.18086229563916,58.56557411034333
106,0.06670030992426387,1,312.43615807,0,102.3497509846467,86.55304491406912,81.22848051631023,-1.4662354351214595,84.80682289751867,59.99759970296421,18.667320568149496,58.499347692898
107,0.06673299153765336,1,302.656831357,0,103.62704156824329,87.64493581755285,80.16930610455078,-1.467939163336345,89.31312103199939,58.97451781618678,20.095601778134622,58.55413468715839
108,0.06670052376832204,1,193.728555504,0,101.73528439332878,86.16895831242121,81.27564221987829,-2.230978220446609,85.49875100857722,59.66163698534337,18.335681414463604,58.39237583531692
109,0.06666131250609661,1,178.853661737,0,104.18309933913785,88.14875525794952,79.87861505336306,-1.184211356486377,91.46294202415555,58.22626317743187,20.601865915500802,58.59753017128783
